"REMOTE"," STATION","FF","SEN/DIS"," 7-D AFAS UNL","30-D AFAS/RMF UNL","JOINT RR TKT","7-D UNL","30-D UNL","14-D RFM UNL","1-D UNL","14-D UNL","7D-XBUS PASS","TCMC","LIB SPEC SEN","RR UNL NO TRADE","TCMC ANNUAL MC","MR EZPAY EXP","MR EZPAY UNL","PATH 2-T","AIRTRAIN FF","AIRTRAIN 30-D","AIRTRAIN 10-T","AIRTRAIN MTHLY","STUDENTS","                                                                                          "
"R193","157TH STREET-BROADWAY         ",18597,1431,193,392,0,13377,15731,0,0,0,0,33,0,8,688,86,67,0,68,0,0,0,4296,"                                                                                                                               "
"R194","BLEECKER ST-LAFAYETTE ST      ",22077,941,75,177,67,8071,21115,0,0,0,0,190,0,244,776,282,224,0,238,0,0,0,1163,"                                                                                                                               "
"R195","161ST STREET-YANKEE STADIUM   ",79583,2708,443,983,91,34078,31712,0,0,0,0,239,0,154,2132,523,222,0,531,0,0,0,11291,"                                                                                                                               "
"R196","PROSPECT PARK-EMPIRE BLVD     ",18244,933,123,320,3,9952,17252,0,0,0,0,106,0,11,976,106,105,0,66,0,0,0,3819,"                                                                                                                               "
"R197","36TH STREET-4TH AVENUE        ",26476,1131,105,475,35,10795,19227,0,0,0,0,105,0,38,705,147,121,0,120,0,0,0,4579,"                                                                                                                               "
"R198","NOSTRAND AVE-FULTON ST        ",31973,1208,350,497,5,21428,23502,0,0,0,0,78,0,7,1254,114,206,0,236,0,0,0,5293,"                                                                                                                               "
"R199","KINGSTON AVE-THROOP AVE       ",10960,427,87,131,1,6363,6762,0,0,0,0,31,0,3,438,18,33,0,76,0,0,0,3222,"                                                                                                                               "
"R200","EUCLID AVE-PITKIN AVE         ",22313,787,156,246,1,10900,9861,0,0,0,0,30,0,0,541,35,33,0,45,0,0,0,8008,"                                                                                                                               "
"R201","WOODHAVEN BLVD-QUEENS BLVD    ",46560,2642,285,820,26,16322,32568,0,0,0,0,205,0,52,1619,201,153,0,182,0,0,0,8289,"                                                                                                                               "
"R202","63RD DRIVE-REGO PARK          ",36237,4295,271,991,25,8919,28701,0,0,0,0,379,0,57,1366,301,177,0,142,0,0,0,2708,"                                                                                                                               "
"R203","23RD STREET-6TH AVENUE        ",36406,1473,162,514,42,8540,26613,0,0,1,0,421,0,104,1235,610,299,0,211,0,0,0,1101,"                                                                                                                               "
"R204","CHURCH AVE-MCDONALD AVE       ",18687,1312,174,597,2,7200,18231,0,0,0,0,122,0,6,465,121,123,0,84,0,0,0,4186,"                                                                                                                               "
"R205","149TH ST-GRAND CONCOURSE      ",25749,940,230,366,15,16404,14583,0,0,0,0,56,0,10,2393,62,37,0,83,0,0,0,8416,"                                                                                                                               "
"R206","125TH STREET-LENOX AVENUE     ",27573,1531,351,848,47,18829,20509,0,0,0,0,94,0,162,1143,164,149,0,166,0,0,0,4191,"                                                                                                                               "
"R207","135TH STREET-LENOX AVENUE     ",26701,1891,324,842,11,16405,19776,0,0,0,0,39,0,11,2683,94,182,0,110,0,0,0,6373,"                                                                                                                               "
"R208","103RD ST-ROOSEVELT AVE        ",44624,935,105,396,11,28402,16864,0,0,0,0,68,0,0,611,49,25,0,67,0,0,0,6689,"                                                                                                                               "
"R209","STERLING ST-NOSTRAND AVE      ",10800,771,116,197,1,5457,7056,0,0,0,0,53,0,0,445,39,64,0,13,0,0,0,2827,"                                                                                                                               "
"R210","BEVERLY RD-NOSTRAND AVE       ",8800,389,85,120,1,3867,3890,0,0,0,0,30,0,0,282,20,6,0,15,0,0,0,2519,"                                                                                                                               "
"R211","KINGS HIGHWAY-EAST 16TH ST    ",35709,3031,216,1094,36,9822,26051,0,0,0,0,415,0,18,983,399,115,0,98,0,0,0,6608,"                                                                                                                               "
"R212","59TH STREET-4TH AVENUE        ",27471,1153,92,388,19,9902,18409,0,0,0,0,96,0,43,509,65,117,0,60,0,0,0,6119,"                                                                                                                               "
"R213","BAY RIDGE AVE-4TH AVENUE      ",17505,946,89,355,9,5035,14010,0,0,0,0,99,0,4,418,136,95,0,54,0,0,0,4580,"                                                                                                                               "
"R214","77TH STREET-4TH AVENUE        ",13029,861,79,196,2,2427,9233,0,0,0,0,125,0,6,399,117,68,0,39,0,0,0,1417,"                                                                                                                               "
"R215","86TH STREET-4TH AVENUE        ",18840,1153,111,491,5,7728,16138,0,0,0,0,96,0,4,572,198,92,0,74,0,0,0,3982,"                                                                                                                               "
"R216","BAY RIDGE - 95TH STREET       ",14562,1123,97,176,2,2953,9844,0,0,0,0,157,0,7,383,170,98,0,34,0,0,0,1389,"                                                                                                                               "
